"comparison","model","burst","correction_type","metric","Level1","Level2","Difference","SE","CI_low","CI_high","z","p"
"model",NA,"Burst_1","uncorrected","roc_auc","LSTM","SVC",-0.224030065980589,0.0157243544171497,-0.254849234318345,-0.193210897642832,-14.2473299721769,4.65750803983855e-46
"model",NA,"Burst_1","uncorrected","roc_auc","TSSeq","SVC",0.0219314411683166,0.0130100709347428,-0.00356782930009057,0.0474307116367237,1.68572802395333,0.0918481965993787
"model",NA,"Burst_1","uncorrected","roc_auc","HydraRocket","SVC",0.110803507706563,0.0110087153237299,0.0892268221559983,0.132380193257128,10.0650715772184,7.88299705788852e-24
"model",NA,"Burst_1","uncorrected","roc_auc","CatEmbed","XGB",-0.00530725608212967,0.010405204067363,-0.0257010813059508,0.0150865691416914,-0.510057856412105,0.610010929130489
"model",NA,"Burst_1","uncorrected","roc_auc","GANDALF","XGB",-0.00622538027386332,0.0104291418690412,-0.0266661227268428,0.0142153621791161,-0.596921621360173,0.550559711086821
"model",NA,"Burst_1","uncorrected","roc_auc","TabPFN","XGB",0.0232093609628967,0.00960279522713661,0.00438822816679583,0.0420304937589976,2.41693802834712,0.0156516816241894
"model",NA,"Burst_1","uncorrected","roc_auc","LSTM","XGB",-0.297927359669638,0.0144984349597613,-0.326343770022966,-0.269510949316309,-20.5489323845298,7.8674419576836e-94
"model",NA,"Burst_1","uncorrected","roc_auc","TSSeq","XGB",-0.0519658525207325,0.0114975469440308,-0.0745006304415915,-0.0294310745998735,-4.5197338852973,6.19174108803467e-06
"model",NA,"Burst_1","uncorrected","roc_auc","HydraRocket","XGB",0.0369062140175141,0.00917154853703172,0.018930309202471,0.0548821188325573,4.02398939159498,5.72204957188108e-05
"model",NA,"Burst_1","uncorrected","roc_auc","GANDALF","CatEmbed",-0.000918124191733649,0.0105675345989081,-0.0216301114109744,0.0197938630275071,-0.0868815884291989,0.930765634478176
"model",NA,"Burst_1","uncorrected","roc_auc","TabPFN","CatEmbed",0.0285166170450264,0.00975292818929351,0.00940122905020568,0.0476320050398471,2.92390310802566,0.00345672326155168
"model",NA,"Burst_1","uncorrected","roc_auc","LSTM","CatEmbed",-0.292620103587508,0.0145982503269164,-0.321232148465564,-0.264008058709452,-20.0448750387553,2.23742853718315e-89
"model",NA,"Burst_1","uncorrected","roc_auc","TSSeq","CatEmbed",-0.0466585964386028,0.0116232156756067,-0.0694396805473333,-0.0238775123298723,-4.01425885407288,5.96328749383654e-05
