"contrast_level","comparison","model","burst","correction_type","beh_rarity","metric","Level1","Level2","Difference","SE","CI_low","CI_high","z","p"
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","GANDALF","CatEmbed",-0.0242952466586999,0.0784847956984677,-0.178122619561681,0.129532126244281,-0.30955354400157,0.756900488513676
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","TabPFN","CatEmbed",0.0271175308916562,0.0754806926744697,-0.120821908278441,0.175056970061753,0.359264467916421,0.719397252837956
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","LSTM","CatEmbed",-0.226803306366963,0.0824688624420798,-0.388439306599427,-0.0651673061344988,-2.75016896863654,0.00595645413026716
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","TSSeq","CatEmbed",-0.0326595188250604,0.0788977935886387,-0.187296352718467,0.121977315068347,-0.413947175701037,0.678912793417131
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","HydraRocket","CatEmbed",-0.0116585163199755,0.0778203354732435,-0.164183571112358,0.140866538472407,-0.149813236464188,0.88091196603192
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","TabPFN","GANDALF",0.0514127775503561,0.0768324890052626,-0.0991761337425282,0.20200168884324,0.669154132789251,0.503397161539683
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","LSTM","GANDALF",-0.202508059708263,0.0836820883618612,-0.36652193904861,-0.0384941803679169,-2.41996900020672,0.0155218302662389
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","TSSeq","GANDALF",-0.00836427216636049,0.0801866828466439,-0.165527282585518,0.148798738252797,-0.104309991003831,0.916923349493029
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","HydraRocket","GANDALF",0.0126367303387244,0.0791288078462283,-0.142452883179473,0.167726343856922,0.159698227266123,0.873118797417067
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","LSTM","TabPFN",-0.253920837258619,0.0809203788363113,-0.412521865393127,-0.095319809124112,-3.13790964538438,0.00170157320696427
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","TSSeq","TabPFN",-0.0597770497167166,0.077255171635192,-0.211194403741153,0.09164030430772,-0.77376114053556,0.439072056381592
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","HydraRocket","TabPFN",-0.0387760472116317,0.0761523479239373,-0.188031906480712,0.110479812057449,-0.509190435603668,0.610618746501124
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","TSSeq","LSTM",0.194143787541903,0.0840610501857109,0.0293871566752953,0.35890041840851,2.30955700782934,0.0209126921110023
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","HydraRocket","LSTM",0.215144790046988,0.083071835431078,0.0523269844724363,0.377962595621539,2.58986440988759,0.00960137412683492
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","uncommon","precision","HydraRocket","TSSeq",0.0210010025050849,0.0795380769007745,-0.13489076362001,0.17689276863018,0.264037091709975,0.791751337548722
