burst,correction_type,Ind_ID,new_burst
burst_1,uncorrected,Nakhu,160426
burst_1,uncorrected,Nakhu,160427
burst_1,uncorrected,Nakhu,160428
burst_1,uncorrected,Nakhu,160429
burst_1,uncorrected,Nakhu,160430
burst_1,uncorrected,Nakhu,160431
burst_1,uncorrected,Nakhu,160433
burst_1,uncorrected,Nakhu,209007
burst_1,uncorrected,Nakhu,209009
burst_1,uncorrected,Nakhu,209013
burst_1,uncorrected,Nakhu,209015
burst_1,uncorrected,Nakhu,209067
burst_1,uncorrected,Nakhu,209074
burst_1,uncorrected,Nakhu,209075
burst_1,uncorrected,Nakhu,217566
burst_1,uncorrected,Nakhu,217568
burst_1,uncorrected,Nakhu,217569
burst_1,uncorrected,Nakhu,217571
burst_1,uncorrected,Nakhu,217574
burst_1,uncorrected,Nakhu,217594
burst_1,uncorrected,Nakhu,307030
burst_1,uncorrected,Nakhu,307031
burst_1,uncorrected,Nakhu,307032
burst_1,uncorrected,Nakhu,307033
burst_1,uncorrected,Nakhu,307037
burst_1,uncorrected,Nakhu,307044
burst_1,uncorrected,Nakhu,308147
burst_1,uncorrected,Nakhu,308149
burst_1,uncorrected,Nakhu,308152
burst_1,uncorrected,Nakhu,309691
burst_1,uncorrected,Nakhu,309692
burst_1,uncorrected,Nakhu,309694
burst_1,uncorrected,Nakhu,309695
burst_1,uncorrected,Nakhu,309696
burst_1,uncorrected,Nakhu,309697
burst_1,uncorrected,Nakhu,309698
burst_1,uncorrected,Nakhu,309699
burst_1,uncorrected,Nakhu,309702
burst_1,uncorrected,Nakhu,309704
burst_1,uncorrected,Nakhu,309705
burst_1,uncorrected,Nakhu,309706
burst_1,uncorrected,Nakhu,309707
burst_1,uncorrected,Nakhu,309711
burst_1,uncorrected,Nakhu,309712
burst_1,uncorrected,Nakhu,309713
burst_1,uncorrected,Nakhu,309714
burst_1,uncorrected,Nakhu,309715
burst_1,uncorrected,Nakhu,309716
burst_1,uncorrected,Nakhu,309717
burst_1,uncorrected,Nakhu,309720
burst_1,uncorrected,Nakhu,309721
burst_1,uncorrected,Nakhu,309722
burst_1,uncorrected,Nakhu,309723
burst_1,uncorrected,Nakhu,309724
burst_1,uncorrected,Nakhu,309725
burst_1,uncorrected,Nakhu,309726
burst_1,uncorrected,Nakhu,309727
burst_1,uncorrected,Nakhu,322356
burst_1,uncorrected,Nakhu,322358
burst_1,uncorrected,Nakhu,322362
burst_1,uncorrected,Nakhu,322363
burst_1,uncorrected,Nakhu,322374
burst_1,uncorrected,Nakhu,326044
burst_1,uncorrected,Nakhu,326047
burst_1,uncorrected,Nakhu,326049
burst_1,uncorrected,Nakhu,326054
burst_1,uncorrected,Nakhu,326055
burst_1,uncorrected,Nakhu,326056
burst_1,uncorrected,Nakhu,326057
burst_1,uncorrected,Nakhu,326058
burst_1,uncorrected,Nakhu,326060
burst_1,uncorrected,Nakhu,326061
burst_1,uncorrected,Nakhu,326062
burst_1,uncorrected,Ndawanya,313689
burst_1,uncorrected,Ndawanya,313690
burst_1,uncorrected,Ndawanya,313692
burst_1,uncorrected,Ndawanya,313696
burst_1,uncorrected,Ndawanya,313702
burst_1,uncorrected,Ndawanya,313705
burst_1,uncorrected,Ndawanya,342472
burst_1,uncorrected,Ndawanya,342475
burst_1,uncorrected,Ndawanya,342476
burst_1,uncorrected,Ndawanya,342481
burst_1,uncorrected,Ndawanya,342482
burst_1,uncorrected,Ndawanya,342486
burst_1,uncorrected,Ndawanya,342489
burst_1,uncorrected,Ndawanya,342490
burst_1,uncorrected,Ndawanya,342491
burst_1,uncorrected,Okefenokee,70847
burst_1,uncorrected,Okefenokee,79456
burst_1,uncorrected,Okefenokee,93774
burst_1,uncorrected,Okefenokee,93907
burst_1,uncorrected,Okefenokee,93908
burst_1,uncorrected,Okefenokee,100584
burst_1,uncorrected,Okefenokee,100586
burst_1,uncorrected,Okefenokee,100587
burst_1,uncorrected,Okefenokee,158310
burst_1,uncorrected,Okefenokee,158314
burst_1,uncorrected,Okefenokee,158315
burst_1,uncorrected,Okefenokee,179146
burst_1,uncorrected,Okefenokee,179160
burst_1,uncorrected,Okefenokee,179165
burst_1,uncorrected,Pomelo,88553
burst_1,uncorrected,Pomelo,88556
burst_1,uncorrected,Pomelo,88571
burst_1,uncorrected,Pomelo,88573
burst_1,uncorrected,Pomelo,142122
burst_1,uncorrected,Pomelo,142123
burst_1,uncorrected,Pomelo,142124
burst_1,uncorrected,Pomelo,142125
burst_1,uncorrected,Pomelo,142126
burst_1,uncorrected,Pomelo,142127
burst_1,uncorrected,Pomelo,142128
burst_1,uncorrected,Pomelo,142129
burst_1,uncorrected,Pomelo,160490
burst_1,uncorrected,Pomelo,160499
burst_1,uncorrected,Pomelo,160500
burst_1,uncorrected,Pomelo,160504
burst_1,uncorrected,Pomelo,161587
burst_1,uncorrected,Pomelo,161589
burst_1,uncorrected,Pomelo,161590
burst_1,uncorrected,Pomelo,161592
burst_1,uncorrected,Pomelo,300231
burst_1,uncorrected,Pomelo,300232
burst_1,uncorrected,Pomelo,300234
burst_1,uncorrected,Pomelo,300235
burst_1,uncorrected,Pomelo,300236
burst_1,uncorrected,Pomelo,300237
burst_1,uncorrected,Pomelo,300238
burst_1,uncorrected,Pomelo,300239
burst_1,uncorrected,Pomelo,300243
burst_1,uncorrected,Pomelo,300245
burst_1,uncorrected,Pomelo,304145
burst_1,uncorrected,Pomelo,304146
burst_1,uncorrected,Pomelo,304151
burst_1,uncorrected,Pomelo,304154
burst_1,uncorrected,Pomelo,304156
burst_1,uncorrected,Pomelo,304158
burst_1,uncorrected,Pomelo,320518
burst_1,uncorrected,Pomelo,320527
burst_1,uncorrected,Pomelo,320530
burst_1,uncorrected,Pomelo,320533
burst_1,uncorrected,Pomelo,320534
burst_1,uncorrected,Ratel,62329
burst_1,uncorrected,Ratel,62330
burst_1,uncorrected,Ratel,62331
burst_1,uncorrected,Ratel,62333
burst_1,uncorrected,Ratel,62405
burst_1,uncorrected,Ratel,62406
burst_1,uncorrected,Ratel,69060
burst_1,uncorrected,Ratel,69063
burst_1,uncorrected,Ratel,69064
burst_1,uncorrected,Ratel,69065
burst_1,uncorrected,Ratel,69121
burst_1,uncorrected,Ratel,69123
burst_1,uncorrected,Ratel,73091
burst_1,uncorrected,Ratel,89461
burst_1,uncorrected,Ratel,89462
burst_1,uncorrected,Ratel,173912
burst_1,uncorrected,Ratel,173913
burst_1,uncorrected,Ratel,173914
burst_1,uncorrected,Ratel,173915
burst_1,uncorrected,Ratel,173916
burst_1,uncorrected,Ratel,211957
burst_1,uncorrected,Ratel,302323
burst_1,uncorrected,Ratel,302331
burst_1,uncorrected,Ratel,302337
burst_1,uncorrected,Seychelles,70927
burst_1,uncorrected,Seychelles,70928
burst_1,uncorrected,Seychelles,70930
burst_1,uncorrected,Seychelles,70931
burst_1,uncorrected,Seychelles,70932
burst_1,uncorrected,Seychelles,70933
burst_1,uncorrected,Seychelles,70935
burst_1,uncorrected,Seychelles,158413
burst_1,uncorrected,Seychelles,158414
burst_1,uncorrected,Seychelles,215701
burst_1,uncorrected,Seychelles,215702
burst_1,uncorrected,Seychelles,215704
burst_1,uncorrected,Seychelles,215705
burst_1,uncorrected,Seychelles,224279
burst_1,uncorrected,Seychelles,224280
burst_1,uncorrected,Seychelles,224282
burst_1,uncorrected,Seychelles,224283
burst_1,uncorrected,Seychelles,224284
burst_1,uncorrected,Seychelles,224285
burst_1,uncorrected,Seychelles,224286
burst_1,uncorrected,Seychelles,224287
burst_1,uncorrected,Seychelles,224288
burst_1,uncorrected,Seychelles,224301
burst_1,uncorrected,Seychelles,224304
burst_1,uncorrected,Seychelles,224305
burst_1,uncorrected,Seychelles,224309
burst_1,uncorrected,Seychelles,299310
burst_1,uncorrected,Seychelles,299311
burst_1,uncorrected,Seychelles,299312
burst_1,uncorrected,Seychelles,299314
burst_1,uncorrected,Seychelles,299322
burst_1,uncorrected,Seychelles,299323
burst_1,uncorrected,Seychelles,299328
burst_1,uncorrected,Seychelles,316505
burst_1,uncorrected,Seychelles,316506
